COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_PRIMARY_KEY
-----------,----------------,---------,-----------,------------------------,-----------------,-------------,--------------
id,1,bigint,YES,NULL,19,0,0
id_AE1,2,bigint,YES,NULL,19,0,0
seq01,3,nvarchar,YES,-1,NULL,NULL,0
seq02,4,bigint,YES,NULL,19,0,0
seq03,5,nvarchar,YES,-1,NULL,NULL,0
seq04,6,nvarchar,YES,-1,NULL,NULL,0
seq05,7,bigint,YES,NULL,19,0,0
seq06,8,nvarchar,YES,-1,NULL,NULL,0
seq07,9,nvarchar,YES,-1,NULL,NULL,0
seq08,10,float,YES,NULL,53,NULL,0
seq09,11,float,YES,NULL,53,NULL,0
seq10,12,bigint,YES,NULL,19,0,0
seq11,13,nvarchar,YES,-1,NULL,NULL,0
seq12,14,bigint,YES,NULL,19,0,0
seq13,15,nvarchar,YES,-1,NULL,NULL,0
seq14,16,nvarchar,YES,-1,NULL,NULL,0
seq15,17,float,YES,NULL,53,NULL,0
seq16,18,float,YES,NULL,53,NULL,0
seq17,19,nvarchar,YES,-1,NULL,NULL,0
